DataHora,Temperatura_Real,Regressão Linear_Previsto,Regressão Linear_Erro,Regressão Linear_Margem_Erro,Regressão Linear_%_Erro,Random Forest_Previsto,Random Forest_Erro,Random Forest_Margem_Erro,Random Forest_%_Erro,SVR_Previsto,SVR_Erro,SVR_Margem_Erro,SVR_%_Erro
2025-05-24 00:00:00,25.4,25.44663440002875,-0.04663440002875063,0.04663440002875063,0.1836000001131915,25.47714774511033,-0.07714774511033085,0.07714774511033085,0.30373127996193244,25.529778532356975,-0.12977853235697623,0.12977853235697623,0.510939103767623
2025-05-24 01:00:00,25.0,25.054035848480204,-0.05403584848020415,0.05403584848020415,0.2161433939208166,25.141923243815285,-0.14192324381528465,0.14192324381528465,0.5676929752611386,25.149270071007763,-0.1492700710077628,0.1492700710077628,0.5970802840310512
2025-05-24 02:00:00,25.3,25.117668561151824,0.18233143884817693,0.18233143884817693,0.7206776239058377,25.20950460978841,0.09049539021158992,0.09049539021158992,0.3576892893738732,25.116066728933767,0.18393327106623403,0.18393327106623403,0.7270089765463795
2025-05-24 03:00:00,25.5,25.519067076901294,-0.019067076901293945,0.019067076901293945,0.07477285059330958,25.566345043845043,-0.06634504384504325,0.06634504384504325,0.2601766425295814,25.367920044876165,0.1320799551238352,0.1320799551238352,0.5179606083287654
2025-05-24 04:00:00,25.3,25.23686912930269,0.06313087069731083,0.06313087069731083,0.24952913319095188,25.344493726568967,-0.044493726568966,0.044493726568966,0.17586453189314621,25.09833650685221,0.20166349314779097,0.20166349314779097,0.797088905722494
2025-05-24 05:00:00,25.3,25.166784331398635,0.13321566860136613,0.13321566860136613,0.5265441446694313,25.206638274163247,0.09336172583675406,0.09336172583675406,0.3690186791966564,25.00917516857119,0.2908248314288109,0.2908248314288109,1.1495052625644697
2025-05-24 06:00:00,24.9,24.910543439581158,-0.01054343958115922,0.01054343958115922,0.042343130848028994,24.96291779179595,-0.06291779179595025,0.06291779179595025,0.2526818947628524,24.810921635205155,0.08907836479484388,0.08907836479484388,0.35774443692708385
2025-05-24 07:00:00,24.8,24.7289851241162,0.07101487588380095,0.07101487588380095,0.2863503059830684,24.714171103485437,0.08582889651456327,0.08582889651456327,0.346084260139368,24.686448181604703,0.11355181839529749,0.11355181839529749,0.4578702354649092
2025-05-24 08:00:00,24.5,24.53466423454864,-0.03466423454863943,0.03466423454863943,0.1414866716270997,24.51176793172262,-0.011767931722619807,0.011767931722619807,0.048032374378040026,24.575701375267176,-0.07570137526717602,0.07570137526717602,0.308985205172147
2025-05-24 09:00:00,24.5,24.59701540687707,-0.09701540687706967,0.09701540687706967,0.395981252559468,24.660124740214375,-0.16012474021437484,0.16012474021437484,0.6535703682219381,24.676704676874028,-0.1767046768740279,0.1767046768740279,0.721243579077665
